0,1,2,3
,,,Dey D. et al: Inhibitors for viral hepatitis
Table 2. List of reported viral membrane penetrating peptides and their role in the virus life cycle,,,
Name,Length (residue length),Virus,Stage of life cycle
Vpu,77–86,HIV-1,Egress106
Vpr,96,HIV-1,Replication116
M2,97,Influenza A,Replication and egress108
BM2,115,Influenza B,Replication95
E,76–109,Coronavirus,Assembly and egress109
3a,274,Coronavirus,Egress110
Kcv,94,PBCV-1,Replication111
VP4,23,HAV,Entry101
VP4,125,SV40,Egress112
2B,251,HAV,Replication97
2B,97–99,Coxsackievirus,Replication and egress113
2B,97,Poliovirus,Replication114
6K,58–61,Alphavirus,Egress115
p7,63,HCV,Assembly107
m1,29,Reovirus,Entry117
Pep46,46,IBDV,Entry118
