0,1,2,3,4,5,6,7,8
Table 2 Association between arg972 irs-1 polymorphism and acute myocardial,,,,,,infarction (mi),in total subjects and,
by gender,,,,,,,,
,Group,GG,GA,AA,p*,G,A,p*
Total,Control,269 (74.7),81 (22.5),10 (2.8),0.86,619 (86.0),101 (14.0),0.73
,(n=360),,,,,,,
,Acute MI,257 (73.2),85 (24.2),9 (2.6),,599 (85.3),103 (14.7),
,(n=351),,,,,,,
Male,Control,144 (69.6),55 (26.6),8 (3.8),0.39,343 (82.9),71 (17.1),0.72
,(n=207),,,,,,,
,Acute MI,156 (69.3),65 (28.9),4 (1.8),,377 (83.8),73 (16.2),
,(n=225),,,,,,,
Female,Control,125 (81.7),26 (17.0),2 (1.3),0.36,276 (90.2),30 (9.8),0.49
,(n=153),,,,,,,
,Acute MI,101 (80.2),20 (15.9),5 (3.9),,222 (88.1),30 (11.9),
,(n=126),,,,,,,
Note: All genotype data are expressed as n(%). *Chi-square p values.,,,,,,,,
