0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Table 4. Pairwise similarity and distances among the VP1 nucleotide sequences of 22 birnavirus strains,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Percent identity nucleotide sequence of VP1,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,
1,,98,98,89,88,88,88,88,55,56,46,80,81,82,82,81,80,80,80,80,80,80,1,1146
2,2,,98,89,88,88,88,88,54,56,46,80,80,82,81,81,80,80,80,80,80,80,2,88R
3,2,2,,89,87,87,87,88,54,55,46,80,80,81,81,80,80,80,80,80,80,80,3,Sp
4,11,11,11,,99,99,98,99,54,55,45,81,81,81,81,81,81,82,82,82,82,82,4,20Gl
5,12,12,13,1,,,100 100 100,,54,56,45,81,81,81,81,81,81,82,82,82,82,82,5,2290
6,12,12,13,1,0,,,100 100,54,56,45,81,81,81,81,81,81,82,82,82,82,82,6,24R
7,12,12,13,1,0,0,,99,54,56,45,81,81,81,81,81,81,82,82,82,82,82,7,578
8,12,12,13,1,0,0,0,,53,55,44,80,80,81,81,81,81,82,82,82,82,82,8,6Bla
9,45,45,46,46,45,45,45,46,,58,44,54,54,55,55,54,54,55,55,55,54,55,9,UPM976
10,44,44,45,45,44,44,44,45,42,,44,56,56,56,56,56,56,56,56,56,56,57,10,CLV
11,54,54,54,55,54,54,54,56,56,56,,46,46,47,46,46,46,46,46,46,46,46,11,DVX1
12,19,20,20,19,19,19,19,19,46,44,54,,100,91,91,90,86,85,85,86,86,86,12,19F3b
13,19,20,20,19,19,19,19,19,46,44,54,0,,91,91,90,86,85,85,86,86,86,13,WB
14,18,18,19,18,19,19,19,19,45,44,53,9,9,,98,89,86,86,86,86,86,86,14,AM98
15,18,18,19,18,19,19,19,19,45,44,53,9,9,2,,90,86,86,86,86,86,86,15,DRT
16,19,19,19,18,18,18,18,18,46,44,54,10,10,10,10,,86,85,85,85,86,86,16,Jasper
17,20,20,20,18,19,19,19,19,46,44,54,14,14,14,14,13,,98,97,98,97,98,17,GCl
18,19,20,19,18,18,18,18,18,45,44,54,14,14,14,14,15,2,,98,99,99,99,18,YT01A
19,20,20,20,18,18,18,18,18,45,43,54,14,14,14,14,15,3,2,,99,99,99,19,NC1
20,20,20,20,18,18,18,18,18,45,43,54,14,14,14,14,15,2,1,1,,99,100,20,H1
21,20,20,20,18,18,18,18,18,45,44,54,14,14,14,14,15,2,1,1,0,,100,21,AY98
22,20,20,20,18,18,18,18,18,45,43,54,14,14,14,14,15,2,1,1,0,0,,22,Y6
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,
