0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,P5-infected/control,,,,,,,,P115-infected/control,,,,
,,,,,,,,4 dpi,,7 dpi,,14 dpi,,21 dpi,,4 dpi,,7 dpi,,14 dpi,,21 dpi
,,,,,,,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p
4467,annexin A1 (ANXA1),gi|,910,100,38761,7.05,,,,,,,0.89,0.435,,,,,,,0.49,0.001
,,46195459,,,,,,,,,,,,,,,,,,,,
2051,B-creatine kinase,gi|211235,631,100,42525.5,5.78,,,,,1.44,0.025,,,,,,,1.77,0.006,,
"1926,",cartilage matrix protein,gi|,314,100,54798.1,6.63,2.71,0.006,,,1.24,0.427,1.94,0.003,2.48,0.025,,,1.96,0.012,2.46,0
"1736,",precursor,71896317,,,,,,,,,,,,,,,,,,,,
"1817,",,,,,,,,,,,,,,,,,,,,,,
4581,,,,,,,,,,,,,,,,,,,,,,
1987,fibrinogen beta chain,gi|211780,612,100,53271.8,7.18,2.75,0.006,,,,,,,2.57,0.011,,,,,,
4679,glutathione S-transferase,gi|4959550,79,99.958,21326.5,8.03,,,,,,,1.36,0.005,,,,,,,1.8,0
,class-alpha,,,,,,,,,,,,,,,,,,,,,
4036,"keratin,
type I cytoskeletal",gi|,772,100,46111,4.94,,,2.43,0.016,,,,,,,2.15,0.009,,,,
,19,45384356,,,,,,,,,,,,,,,,,,,,
5150,nmrA-like family domain-,gi|,653,100,32726,7.77,,,,,,,2.21,0.004,,,,,,,1.72,0.009
,containing protein 1,71897147,,,,,,,,,,,,,,,,,,,,
4405,PREDICTED: microfibril-,gi|,331,100,28600,5.2,,,0.57,0.001,,,,,,,0.97,0.695,,,,
,associated glycoprotein 4,18470900,,,,,,,,,,,,,,,,,,,,
,(EST),,,,,,,,,,,,,,,,,,,,,
2021,Vimentin (VIM),gi|212868,1160,100,53166.6,5.09,,,,,0.76,0.015,,,,,,,0.56,0.001,,
a) Match ID represents unique numbers assigned to each spot,,,,in the matched standard of,,,ImageMaster 2D Platinum version 6.0 software,,,,,,,,,,,,,,,
