0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,b,,,,,,,,,,,,,,,,
,,HPV genera,,D,,,,,,,,,,,,,,
,,,,8,,,,,,,,,,,,,,
400,0,Alpha,,_,,,,,"D8_Pt27
D8_Pt01",,,,,,,,,
,,,D,P,,,,,,,,,,,,,,
,,Beta,8,t,,,,,,D8_Pt02,,,,,,,,
,,,_,2,,,,,,,,,,,,,,
,,,,,6,,,,,D8_Pt03,,,,,,,,
,,Beta_Novel,P t 2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,5,0,,,,,,,,,,,,,
,,Gamma,D8_Pt24,"0
1",,,,,,,D 8_Pt04,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Gamma_Novel,,,,,,,,,,,,,,,,
,,,,,,7,5,,,,,,,,,,,
,,Mu,,,,,,,,,,,,,0,5,,
,,,,,,,,,,,,,t,,,,,
,,,D8_Pt23,,,,,,,,,P,,,,,,
,,,,,,,,,,,"_
8",,,,,,,
,,Mu_Novel,,,,,,,,,D,,,,,,,
,,,,,,,,5,0,,,,,,,,,
,,,,,,,,,,,,,,,,,0,6
,,,,,,,,,,,,,,,,P t,,
,,,D8_Pt22,,,,,,,,,,,_,,,,
