0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Table 1: Nucleotide and amino acid identities of Egypt/F/03 with selected IBV sequences,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nucleotide identity (%),,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
1,,74,73,97,98,98,99,76,95,75,68,72,77,74,76,98,78,1,Egypt/F/03
2,71,,73,74,74,74,75,74,73,76,76,77,75,98,73,75,79,2,Egypt/Beni-Suef/01
3,74,74,,73,77,73,74,72,71,99,97,82,70,76,76,78,84,3,Egypt/D/89
4,97,71,73,,97,97,97,76,94,75,68,73,77,73,75,97,78,4,H120
5,96,70,72,96,,97,94,76,95,79,75,81,77,73,75,96,77,5,M41
6,96,71,73,96,95,,98,76,94,75,68,73,77,73,75,97,78,6,Beaudette.US
7,99,71,74,97,96,96,,76,95,74,69,73,78,75,76,98,79,7,GX1-98.China
8,70,69,75,70,69,71,71,,75,74,69,73,78,74,73,75,78,8,B1648.Belgium
9,90,70,72,91,90,89,90,68,,73,67,72,76,72,73,91,76,9,Connecticut
10,74,75,98,74,72,74,74,75,73,,91,82,73,76,76,78,84,10,D274
11,74,75,94,73,72,73,74,76,74,94,,83,67,76,76,78,84,11,D3896
12,72,73,81,72,71,72,72,77,70,82,83,,70,76,76,79,81,12,Vic.S
13,72,72,72,71,70,71,72,71,69,73,73,72,,75,93,77,76,13,UK/4/91
14,68,97,73,68,68,68,69,66,67,73,73,69,71,,73,74,79,14,Israel/720/99
15,71,68,72,69,68,70,71,69,67,73,73,71,88,69,,76,76,15,IS/188/96/Var.1
16,97,71,73,96,93,96,97,70,84,73,73,72,72,70,71,,78,16,IS/385/97
17,71,77,83,71,70,71,72,76,69,83,85,77,73,78,73,72,,17,IS/585/98/Var.2
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
