0,1,2,3,4,5,6,7,8,9,10,11,12,13
TABLE 2 | Continued,,,,,,,,,,,,,
Gene,Location,SNP/HWE,Model,No. of,Sample,OR,LCI,UCI,P-value,I2,P for I2,Begg’s,Egger’s
,,test,,study,size,,,,,,,test,test
,,Control:,Dominant model,4,507,0.94,0.61,1.45,0.775,23.40%,0.271,0.308,0.203
,,0.8662,,,,,,,,,,,
,,Total:0.3016,Recessive model,3,251,1.54,0.63,3.75,0.339,0%,0.964,1,NA
PAI-1,Multinational,rs1799768,Allelic model,3,485,0.55,0.23,1.35,0.193,83.90%,0.002,0.296,0.021
,,,Heterozygous,3,485,0.47,0.19,1.16,0.099,68.10%,0.043,1,0.937
,,,model,,,,,,,,,,
,,Case: 0.0016,Homozygous,3,485,0.38,0.07,2.03,0.258,77.50%,0.012,0.296,0.069
,,,model,,,,,,,,,,
,,Control:,Dominant model,3,485,0.44,0.14,1.34,0.146,82.80%,0.003,0.296,0.107
,,0.3961,,,,,,,,,,,
,,Total: 0.0066,Recessive model,3,485,0.60,0.17,2.13,0.429,63.50%,0.064,0.296,0.151
