0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,Table 2. Nucleotides and deduced amino acid identities of Cuban IBDV strain based on B-marker region of segment B.,,,,,,,,,,,,,,,,,
,,,,,,,,,nucleotides identity,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
1,,0.986,0.986,0.981,0.983,0.979,0.983,0.981,0.983,0.986,0.979,0.972,0.983,0.974,0.976,0.881,0.881,1-BF3Hab97
2,0.986,,0.99,0.986,0.988,0.988,0.988,0.99,0.988,0.99,0.988,0.981,0.993,0.983,0.986,0.883,0.883,2-BF26Hab97
3,0.986,1,,0.99,0.993,0.988,0.993,0.986,0.988,0.99,0.983,0.976,0.988,0.979,0.981,0.876,0.876,3-61/98Hab98
4,0.986,1,1,,0.988,0.983,0.988,0.981,0.983,0.986,0.979,0.972,0.983,0.974,0.981,0.876,0.876,4-69/98Hab98
5,0.979,0.993,0.993,0.993,,0.99,1,0.983,0.986,0.988,0.981,0.974,0.986,0.976,0.979,0.874,0.874,5-135/00Hol00
6,0.979,0.993,0.993,0.993,1,,0.99,0.979,0.981,0.983,0.976,0.969,0.981,0.972,0.974,0.879,0.879,6-BF11Hab00
7,0.979,0.993,0.993,0.993,1,1,,0.983,0.986,0.988,0.981,0.974,0.986,0.976,0.979,0.874,0.874,7-45/02Hab02
8,0.986,1,1,1,0.993,0.993,0.993,,0.983,0.986,0.988,0.986,0.993,0.983,0.986,0.886,0.886,8-BF12Hab02
9,0.979,0.993,0.993,0.993,0.986,0.986,0.986,0.993,,0.997,0.981,0.974,0.986,0.976,0.979,0.876,0.876,9-BF29Hab04
10,0.986,1,1,1,0.993,0.993,0.993,1,0.993,,0.983,0.976,0.988,0.979,0.981,0.879,0.879,10-BF31Hab04
11,0.986,1,1,1,0.993,0.993,0.993,1,0.993,1,,0.981,0.99,0.981,0.983,0.888,0.888,11-BF14Cie08
12,0.986,1,1,1,0.993,0.993,0.993,1,0.993,1,1,,0.988,0.974,0.976,0.881,0.881,12-BF16Hab08
13,0.986,1,1,1,0.993,0.993,0.993,1,0.993,1,1,1,,0.986,0.988,0.881,0.881,13-BF19Hab09
14,0.972,0.986,0.986,0.986,0.979,0.979,0.979,0.986,0.979,0.986,0.986,0.986,0.986,,0.983,0.883,0.883,14-BF24Hab11
15,0.972,0.986,0.986,0.986,0.979,0.979,0.979,0.986,0.979,0.986,0.986,0.986,0.986,0.986,,0.872,0.872,15-BF25Hab11
16,0.972,0.972,0.972,0.972,0.965,0.965,0.965,0.972,0.965,0.972,0.972,0.972,0.972,0.972,0.958,,1,16-Cuban vaccine
17,0.972,0.972,0.972,0.972,0.965,0.965,0.965,0.972,0.965,0.972,0.972,0.972,0.972,0.972,0.958,1,,17-117/96PiR96
,,,,,,,,,amino acid identity,,,,,,,,,
