0,1,2,3,4,5,6,7,8,9,10
"Table 3. Nucleotide and amino acid identities for segments of novel bat orthoreovirus RpMRV-YN2012, China.",,,,,,,,,,
,,MRV prototype strains,,,Bat reovirus,,Human reoviruses,,Pig reoviruses,
RpMRV-YN2012,,,,,,,,,,
,T1L,T2J,T3D,T4N,342/08,SI-MRV01,MRV2tou05,GD-1,SC-A,SHR-A
L1,89.9/98.6,75.2/92.4,90.0/99.0,90.7/97.9,90.3/98.7,91.2/99.1,90.0/98.8,90.4/98.2,90.6/98.5,91.1/99.2
L2,76.3/92.5,73.1/80.7,86.6/97.3,NA,86.6/97.7,86.7/97.8,76.4/93.1,77.0/93.1,76.7/92.9,76.0/91.5
L3,87.9/98.6,77.0/95.9,87.9/98.5,NA,94.4/99.3,94.6/99.4,84.6/98.5,84.2/98.1,84.6/97.9,87.5/98.2
M1,94.5/97.4,70.3/79.7,93.9/97.6,NA,86.0/95.3,86.3/95.7,88.7/96.6,94.5/98.3,94.3/97.1,94.6/97.9
M2,80.7/97.3,78.5/96.3,83.8/62.4,82.7/97.3,86.9/97.4,87.3/97.7,84.8/98.0,84.3/97.4,84.6/97.7,84.2/96.8
M3,82.3/95.8,69.3/83.4,82.3/95.9,NA,87.6/97.7,87.6/97.6,89.4/97.7,81.3/94.5,89.0/97.6,82.5/96.2
S1,57.6/43.9,62.8/62.9,40.4/24.6,40.2/23.3,40.8/23.8,41.1/23.6,84.9/91.1,40.2/24.0,40.6/24.4,56.1/53.4
S2,87.2/77.8,77.0/93.7,84.4/98.8,84.8/97.3,98.1/99.2,93.5/98.3,87.3/98.5,87.0/97.8,95.8/99.2,87.5/99.0
S3,93.4/97.5,72.7/85.7,85.6/97.5,NA,94.9/98.3,94.7/98.9,88.6/98.6,94.1/98.0,88.4/97.8,87.9/97.5
S4,87.5/96.1,78.3/92.0,88.2/96.7,89.7/93.6,97.0/98.9,96.8/99.1,88.7/98.0,78.0/86.3,92.8/98.6,78.0/87.1
