0,1,2,3
Table 6.  The information of 29 spike protein sequences.,,,
NUMBER,ABBREVIATION,ACCESS NUMBER,
1,TGEVG,CAB91145,
2,TGEV,NP 058424,
3,PEDVC,AAK38656,
4,PEDV,NP 598310,
5,HCoVOC43,NP 937950,
6,BCoVE,AAK83356,
7,BCoVL,AAL57308,
8,BCoVM,AAA66399,
9,BCoVQ,AAL40400,
10,MHVA,AAB86819,
11,MHVJHM,YP 209233,
12,MHVP,AAF69334,
13,MHVM,AAF69344,
14,IBVBJ,AAP92675,
15,IBVC,AAS00080,
16,IBV,NP 040831,
,,,Figure 2.  The phylogenetic tree of the 29 spike proteins of coronavirus
17,GD03T0013,AAS10463,
,,,using our method.
18,PC4127,AAU93318,
19,PC4137,AAV49720,
20,PC4205,AAU93319,
21,civet007,AAU04646,
22,civet010,AAU04649,
23,A022,AAV91631,
24,GD01,AAP51227,
25,GZ02,AAS00003,
26,BJ01,AAP30030,
27,FRA,AAP50485,
28,TOR2,AAP41037,
29,TaiwanTC1,AAQ01597,
