0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Table 5. Pairwise similarity and distances among the VP1 amino acid sequences of 22 birnavirus strains,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Percent identity amino acid sequence of VP1,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,
1,,100,98,95,95,96,96,96,47,47,28,90,90,90,90,90,89,90,90,90,90,90,1,1146
2,0,,98,95,96,96,96,46,46,28,90,90,90,90,88,90,88,90,90,90,90,90,2,88R
3,2,2,,94,95,95,95,46,46,28,89,89,89,89,89,87,89,89,89,89,89,89,3,Sp
4,5,5,6,,99,98,98,98,47,46,27,89,89,89,89,90,88,90,90,90,90,90,4,20Gl
5,5,5,6,1,,99,99,99,47,46,27,89,89,89,89,90,88,90,89,90,90,90,5,6Bla
6,4,4,5,2,1,,100 100,,48,47,28,90,90,90,90,91,89,91,90,91,91,91,6,2290
7,4,4,5,2,1,0,,100,48,47,28,90,90,90,90,91,89,91,90,91,91,91,7,24R
8,4,4,5,2,1,0,0,,48,47,28,90,90,90,90,91,89,91,90,91,91,91,8,578
9,53,53,54,53,53,52,52,52,,50,28,47,47,47,47,47,47,47,47,47,47,47,9,CLV
10,53,53,54,54,53,53,53,53,50,,27,46,46,46,47,46,46,46,46,46,46,46,10,UPM976
11,72,72,72,72,73,72,72,72,72,73,,29,29,29,29,29,29,29,29,29,29,29,11,DVX1
12,10,10,11,11,11,10,10,10,53,53,71,,100,98,98,97,94,95,95,96,96,96,12,19F3b
13,10,10,11,11,11,10,10,10,53,53,71,0,,98,98,97,94,96,95,96,96,96,13,WB
14,10,10,11,10,11,10,10,10,53,53,71,2,2,,99,98,94,96,96,96,96,96,14,AM98
15,10,10,11,11,11,10,10,10,53,54,71,2,2,1,,98,94,96,96,96,96,96,15,DRT
16,10,10,11,10,10,9,9,9,53,53,71,3,3,2,2,,94,95,95,96,96,96,16,Jasper
17,11,11,12,12,12,11,11,11,53,54,71,6,6,6,6,6,,97,97,97,97,98,17,GCl
18,9,10,11,10,10,9,9,9,53,53,71,5,4,4,4,5,3,,98,99,99,99,18,NC1
19,10,10,11,10,10,9,9,9,53,54,71,5,4,4,4,5,3,1,,100,99,99,19,AY98
20,9,10,11,10,10,9,9,9,53,54,71,4,4,4,4,4,3,1,0,,100 100,,20,Y6
21,9,10,11,10,10,9,9,9,52,53,71,4,4,4,4,4,3,1,1,0,,100,21,H1
22,9,10,11,10,10,9,9,9,52,54,71,4,4,4,4,4,2,1,1,0,0,,22,YT01A
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,
