0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Table 2 | Average nucleotide and amino acid between strain identities for the (A) complete genome, (B) ORF1a, (C) p25, and (D) p27 genes.",,,,,,,,,,,,,,,
,RB,T36,T3,T68,T30,VT,HA16-5,,RB,T36,T3,T68,T30,VT,HA16-5
(A) GENOME,,,,,,,,(B) ORF1a,,,,,,,
RB,,,,,,,,RB,,91.4,86.9,92.1,74.8,74.6,79.6
T36,90.9,,,,,,,T36,90.6,,85.7,91.7,74.6,74.3,80.2
T3,81.0,80.5,,,,,,T3,85,82.9,,85.8,74.4,74.5,86.1
T68,80.9,80.5,88.0,,,,,T68,90.8,90.4,83,,74.3,74.3,79.9
T30,82.0,81.9,90.0,86.1,,,,T30,73.1,72.9,72.6,72.6,,91.6,73.5
VT,81.2,80.8,92.4,89.9,90.3,,,VT,73.2,72.9,72.7,72.9,91.2,,73.4
HA16-5,81.8,80.3,84.0,86.2,83.5,83.8,,HA16-5,78.0,78.1,82.8,77.9,72.1,72.2,
,RB,T36,T3,T68,T30,VT,HA16-5,,RB,T36,T3,T68,T30,VT,HA16-5
(C) p25,,,,,,,,(D) p27,,,,,,,
RB,,95.7,96.5,96.8,95.3,96.4,97.2,RB,,95.1,95.4,96.0,96.5,95.8,96.1
T36,93.9,,95.8,95.6,96.2,95.2,96.2,T36,92.9,,94.5,95.5,96.0,95.4,94.9
T3,92.6,92.3,,97.8,96.4,97.4,98.2,T3,87.9,87.8,,97.1,94.1,97.2,94.4
T68,92.6,93.0,95.1,,95.7,97.9,97.3,T68,89.3,89.1,92.8,,95.8,98.6,94.5
T30,92.4,93.1,93.1,92.6,,95.5,96.4,T30,95.5,93.9,88.1,89.4,,95.6,95.6
VT,93.1,92.8,95.4,96.4,92.7,,97.1,VT,89.2,89,93.8,96.2,89.5,,94.3
HA16-5,93.4,92.2,91.9,91.1,91.5,92.4,,HA16-5,92.5,92.0,87.5,88.5,92.1,88.4,
