0,1,2,3
"Cui et al. Virology Journal 2013, 10:304",,,Page 2 of 5
http://www.virologyj.com/content/10/1/304,,,
Table 1 Sequences used in the evolutionary analysis of DDP4,,,
Common name,Species name,Family,Accession no.
Sheep,Ovis aries,Bovidae,XM_004004660
Killer whale,Orcinus orca,Delphinidae,XM_004283621
Cow,Bos taurus,Bovidae,NM_174039
Pig,Sus scrofa,Suidae,NM_214257
Pacific walrus,Odobenus rosmarus divergens,Odobenidae,XM_004410199
Ferret,Mustela putorius furo,Mustelidae,DQ266376
Cat,Felis catus,Felidae,NM_001009838
Horse,Equus caballus,Equidae,XM_001493999
Rhinoceros,Ceratotherium simum,Rhinocerotidae,XM_004428264
Large flying fox,Pteropus vampyrus,Pteropodidae,ENSPVAG00000002634
Black flying fox,Pteropus alecto,Pteropodidae,KB031068
Common vampire bat,Desmodus rotundus,Phyllostomidae,GABZ01004546
Brandt’s bat,Myotis brandtii,Vespertilionidae,KE161360
David’s myotis,Myotis davidii,Vespertilionidae,KB109552
Little brown bat,Myotis lucifugus,Vespertilionidae,GL429772
Common pipistrelle,Pipistrellus pipistrellus,Vespertilionidae,KC249974
Guinea pig,Cavia porcellus,Caviidae,XM_003478564
Degu,Octodon degus,Octodontidae,XM_004629976
Lesser Egyptian jerboa,Jaculus jaculus,Dipodidae,XM_004651712
Mouse,Mus musculus,Muridae,BC022183
Rat,Rattus norvegicus,Muridae,NM_012789
Human,Homo sapiens,Hominidae,NM_001935
Chimpanzee,Pan troglodytes,Hominidae,GABE01002695
Pygmy chimpanzee,Pan paniscus,Hominidae,XM_003820939
Gorilla,Gorilla gorilla gorilla,Hominidae,XM_004032706
Orangutan,Pongo abelii,Hominidae,NM_001132869
Gibbon,Nomascus leucogenys,Hylobatidae,XM_003266171
Olive baboon,Papio anubis,Cercopithecidae,XM_003907539
Rhesus monkey,Macaca mulatta,Cercopithecidae,JU474559
Galago,Otolemur garnettii,Galagidae,XM_003795172
Marmoset,Callithrix jacchus,Cebidae,XM_002749392
American pika,Ochotona princeps,Ochotonidae,XM_004577330
