0,1,2,3
,TABLE 1. Complementation of KUN RNAs with in-frame deletions and frameshift mutation in the nonstructural coding region,,
Construct,Deleted amino acidsa,Complementation by IFb,Titer in CFc (IU/ml)
dNS1.1,795–1088,1111 (4),;6 3 106 (4)
dNS1.2,795–1127,111 (6),;3 3 104 (6)
dNS1.3,795–1134,11 (6),;3 3 102 (6)
,,2,
dNS2A,1178–1371,,ND
,,2,
dNS2A’B3’,1320–1570,,ND
dNS3.1,1884–2072,1 (4),",10"
,,2,
dNS4A,2126–2241,,ND
,,2,
dNS4B,2395–2503,,ND
,,2,
ns5Age*d,2602–3433e,,ND
FLdSAMf,2603–2613,1111 (7),;2 3 104 (7)
,,2,
ns5dEBd,2675–3433,,ND
ns5dBsBd,2755–3433,11 (4),;102 (4)
ns5dNBd,2926–3433,1111 (2),;(3–5) 3 105 (4)
ns5dABd,3122–3433,1111 (2),;5 3 106 (4)
FLdGDDf,3194–3197,1111 (5),;5 3 105 (5)
ns5dSBd,3389–3433,1111 (2),;(3–5) 3 105 (4)
dNS1.1/5AB,"795–1088, 3122–3433",1111 (4),;106 (4)
dNS1.1/5NB,"795–1088, 2926–3433",111 (4),;8 3 104 (4)
dNS1.1/3.2/5AB,"795–1088, 1684–1762, 3122–3433",1 (4),",10"
dNS1.1/3.3/5AB,"795–1088, 1684–2072, 3122–3433",1 (4),",10"
a Positions of deleted amino acids in KUN polyprotein (11).,,,
