0,1,2,3,4,5,6,7,8
"Table 3 Comparison of the annotations in GenBank and predictions by VIGOR, GeneMarkS and ZCURVE_V of two",,,,,,,,
"SARS coronavirus genomes, NC_009695 (NC) and AY485277 (AY)",,,,,,,,
,Annotations in GenBank,,Predictions by VIGOR,,Predictions by GeneMarkS,,,Predictions by ZCURVE_V
,start,stop,start,stop,start,stop,start,stop
,261,13394,261,13394,261,13394,261,13394
,13379,21466,13379,21466,13580,21466,13580,21466
,21473,25198,21473,25198,21473,25198,21473,25198
,25207,26031,25207,26031,25207,26031,25207,26031
,25628,25972,mutation,mutation,,,,
,26056,26286,26056,26286,,,26056,26286
NC,26333,26998,26333,26998,26333,26998,26333,26998
,27009,27200,27009,27200,27009,27200,27009,27200
,27208,27576,27208,27576,27208,27576,27208,27576
,27573,27707,27573,27707,,,27573,27707
,27714,28082,27714,28082,,,27714,28082
,28084,29349,28084,29349,28084,29349,28084,29349
,28094,28387,28094,28387,,,,
,28544,28756,28544,28756,,,,
,265,13413,265,13413,265,13413,265,13413
,265,21485,265,21485,13599,21485,13599,21485
,21492,25259,21492,25259,21492,25259,21492,25259
,25268,26092,25268,26092,25268,26092,25268,26092
,25689,26153,25689,26153,,,,
,26117,26344,26117,26344,,,26117,26344
AY,26395,27060,26395,27060,26395,27060,26395,27060
,,,27071,27262,27071,27262,27071,27262
,,,27270,27638,27270,27638,27270,27638
,,,27635,27769,,,27635,27769
,,,27776,27895,,,27776,27895
,,,27861,28115,,,27861,28115
,28117,29385,28117,29385,,,28117,29385
,,,28127,28423,28127,28423,,
,,,28580,28792,28420,29385,,
"Bold coordinates indicate the new, correct predictions. Bold,",,,,italic coordinates are incorrect predictions.,,,,
