0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
with nine NXT and eight NXS sites in all the fourteen isolates reported in this study.,,,,,,,,,,,,,,
,,Table 3. Percentage nucleotide identity among reported viruses in this study.,,,,,,,,,,,,
Sequence,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,ID,100%,99%,99%,99%,99%,99%,92%,92%,92%,92%,92%,98%,98%
2,100%,ID,99%,99%,100%,99%,99%,92%,92%,92%,92%,92%,98%,98%
3,99%,99%,ID,99%,99%,99%,99%,92%,92%,92%,92%,92%,98%,98%
4,99%,99%,99%,ID,99%,99%,99%,92%,92%,92%,92%,92%,98%,98%
5,99%,100%,99%,99%,ID,99%,99%,92%,92%,93%,92%,92%,98%,98%
6,99%,99%,99%,99%,99%,ID,100%,92%,92%,93%,92%,92%,98%,98%
7,99%,99%,99%,99%,99%,100%,ID,92%,92%,93%,92%,92%,98%,98%
8,92%,92%,92%,92%,92%,92%,92%,ID,100%,99%,100%,100%,92%,92%
9,92%,92%,92%,92%,92%,92%,92%,100%,ID,99%,100%,100%,92%,92%
10,92%,92%,92%,92%,93%,93%,93%,99%,99%,ID,99%,99%,93%,92%
11,92%,92%,92%,92%,92%,92%,92%,100%,100%,99%,ID,100%,92%,92%
12,92%,92%,92%,92%,92%,92%,92%,100%,100%,99%,100%,ID,92%,92%
13,98%,98%,98%,98%,98%,98%,98%,92%,92%,93%,92%,92%,ID,98%
14,98%,98%,98%,98%,98%,98%,98%,92%,92%,92%,92%,92%,98%,ID
1MF034372.1,,ACoV/house,,"sparrow/Sharqia-Egypt/VRLCU-1/2016,",,,,,,2MF034373.1,,ACoV/teal/Sharqia,,
