0,1,2,3
L functions continue to emerge from speciﬁc cell types in the coming years.,,,
,Table 4. Reported structural studies of cathepsin L enzyme.,,
PDB Entry,Method,Resolution (Å),Reference
1CJL,X-ray,2.20,[42]
1CS8,X-ray,1.80,[42]
1ICF,X-ray,2.00,[42]
1MHW,X-ray,1.90,[95]
2NQD,X-ray,1.75,[185]
2VHS,X-ray,1.50,[186]
2XU1,X-ray,1.45,[121]
2XU3,X-ray,0.90,[121]
2XU4,X-ray,1.12,[121]
2XU5,X-ray,1.60,[121]
2YJ2,X-ray,1.15,[97]
2YJ8,X-ray,1.30,[97]
2YJ9,X-ray,1.35,[97]
2YJB,X-ray,1.40,[97]
2YJC,X-ray,1.14,[97]
