0,1,2,3,4,5,6,7,8,9,10,11,12
Epidemiology and Health  2014;36:e2014004,,,,,,,,,,,,
"80,000",,,,,,,,,,,,140
,,,,,,,,"73,530",,,,
,,,,,,,"69,748",,,,,
"70,000",,,,,,,,,,,,
,,,,115,,,,,,,,120
,,,,(18.9),,,,,,,,
,,,,,,"59,577",,,"60,366",,,
"60,000",,,,,,,,,,,,
,,,,,"54,779",,,,"55,963",,,
,,,,,,,,,,,,100
,,,,,,,,"48,307",,,,
"50,000",,,,,82,,"46,296",,,,,
,,,,,(13.5),,,,,,,
,,,,,,,,,,"38,928",,80
,,,,,,,,,"39,957",,,
,,,,"45,794",,,,,,,,
,,,,,,"37,209",,,"36,945",,,
"40,000",,,,,,,75,,,,,
,,,,,,,,,,,"34,277",
,,,"34,358",,,,,,,,,
,,,,,,,(12.3),68,,,,
,,,,,"32,138",,,,,,57,
,,,,,,,,,,,,60
,"29,472",,,,,,,(11.2),,,,
,,,,,,,,,,,(9.4),
,,"27,531",,,,,,,,,,
"30,000",,,,,,,,,,,,
,,,,"26,003",,,,,56,,,
,,,,,,,,,,"23,238","22,938",
,,,,,,,,,"(9.2)
48",,,
,,,33,,,,,,,,,
,,,,,,,,,(7.9),,,40
,,,(5.4),,,,,,,,,
"20,000",,,,,,,,,,,,
,"16,047",,,,,,,,,,,
,,"12,086",,,,32,,,,,,
,,,,,,,,,19,,,
,,,,,,(5.3),,,,,,
,,,,"14,723",,,,,(3.1),,,
,,,,,,,,,,,,20
"10,000",6,,,,,,,,,,,
,,17,,,,,3,,,,,
,(1.0),,,,,,,,"1 
1",,1,
,,(2.8),,,,,(50.0),,,,,
