0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,TABLE 2 | Predicted ORFs in the genomes of bat CoVs.,,,,,,,,,,,,
,Coronavirus,,,,,Alphacoronavirus,,,,,,Betacoronavirus,,
Frontiers in Microbiology | www.frontiersin.org,,,,,Scotophilus kuhlii,,,,,Rhinolophus spp.,,,,Cynopterus
,,,,,,,,,,,,,,sphinx
,,,,α-GX2018A,α-GX2018B,α-GX2018C,α-GX2018D,α-YN2018,β-SC2018,β-YN2018A,β-YN2018B,β-YN2018C,β-YN2018D,β-GX2018
,Genome size (nt),,,"28,303","28,175","28,146","28,235","29,109","29,648","29,698","30,256","29,689","30,213","29,752"
,G + C content,,,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.41,0.38
,5’ UTR,Location,(nt),1–295,1–259,1–255,1–247,1–324,1–260,1–265,1–263,1–262,1–264,1–225
,ORF1ab,Location,(nt),"296–20,676","260–20,640","256–20,636","248–20,631","328–20,468","261–21,448","266–21,219","264–21,481","263–21,483","265–21,485","226–21,032"
,,Length,(nt),"20,381","20,381","20,381","20,384","20,144","21,188","20,954","21,218","21,221","21,221","20,807"
,,,(aa),"6,793","6,793","6,793","6,794","6,714",7062,6985,"7,072","7,073","7,073","6,935"
,S,Location,(nt),"20,673–","20,637–","20,633–","20,622–","20,465–","21,455–","21,494–","21,491–","21,490–","21,492–","20,980–24,813"
,,,,"24,788","24,755","24,751","24,719","24,517","25,180","25,222","25,258","25,215","25,217",
,,Length,(nt),"4,119","4,119","4,119","4,098","4,053",3726,3729,"3,768","3,726","3,726","3,834"
,,,(aa),"1,371","1,371","1,371","1,366","1,350","1,241","1,240","1,255","1,241","1,241","1,277"
,ORFs-e,Location,(nt),"24,788–","24,755–","24,751–","24,719–","24,517–","25,190–","25,232–","25,270–","25,225–","25,227–","24,810–25,472"
,,,,"25,462","25,429","25,425","25,399","25,565","25,955","26,056","26,094","26,049","26,051",
,,Number,(nt),1,1,1,1,3,2,2,2,2,2,1
5,,,,,,,,,,,,,,
,E,Location,(nt),"25,443–","25,410–","25,406–","25,380–","25,977–","26,039–","26,081–","26,119–","26,074–","26,076–","25,472–25,717"
,,,,"25,673","25,640","25,636","25,616","26,201","26,269","26,311","26,349","26,304","26,306",
,,Length,(nt),231,231,231,237,225,231,231,231,231,231,246
,,,(aa),76,76,76,79,74,76,76,76,76,76,81
,M,Location,(nt),"25,680–","25,647–","25,643–","25,623–","26,213–","26,320–","26,362–","26,400–","26,355–","26,357–","25,704–26,372"
,,,,"26,366","26,333","26,329","26,315","26,896","26,985","27,027","27,065","27,020","26,914",
,,Length,(nt),678,678,678,693,684,666,666,666,666,558,669
,,,(aa),225,225,225,231,227,221,221,221,221,185,222
,ORFm-n,Location,(nt),—,—,—,—,—,"26,835–","27,038–","27,076–","27,031–","27,032–",—
,,,,,,,,,"28,061","28,108","28,668","28,101","28,624",
,,Number,(nt),—,—,—,—,—,5,5,5,4,5,—
,N,Location,(nt),"26,377–","26,344–","26,340–","26,326–","26,907–","28,076–","28,123–","28,683–","28,116–","28,639–","26,427–27,818"
,,,,"27,561","27,528","27,524","27,504","28,100","29,341","29,391","29,951","29,384","29,907",
,,Length,(nt),"1,185","1,185","1,185",1179,"1,194","1,266","1,269","1,269","1,269","1,269","1,392"
,,,(aa),394,394,394,393,397,421,422,422,422,422,463
,ORFn,Location,(nt),"27,576–","27,543–","27,539–","27,519–","28,141–",—,—,—,—,—,"27,854–29,510"
,,,,"28,070","28,037","28,033","28,010","28,817",,,,,,
August 2019 | Volume 10 | Article 1900,,Number,(nt),1,1,1,1,2,—,—,—,—,—,3
,3’ UTR,Location,(nt),"28,071–","28,038–","28,034–","28,011–","28,817–","29,342–","29,392–","29,952–","29,385–",29908–,"29,511–29,741"
,,,,"28,291","28,175","28,146",28.235,"29,098","29,648","29,698","30,256","29,689",30213,
