0,1,2,3,4,5,6,7,8,9
Table 1 | Characteristics of the lncRNA candidates.,,,,,,,,,
,Chr,Position,Length,UCSC,Ensembl,Validation,Ct,Rep Seq,Features
1,11,85195002–85195217F,216,Intron DLG2,ENSG00000150672,3.6 ×,20–21,Yes,LSU ribosomal RNA
2,13,110076414–110076761FR,348,No,None,3.8 ×,8–10,No,99% homology
,,,,,,,,,mitochondrial DNA
3,1,237766286–237766644R,359,miRNA inside,ENSG00000198626,5.0 ×,5–8,Yes,LSU ribosomal RNA
,,,,Intron RYR2,,,,,
4,13,82264067–82264606F,539,,ENSG00000214182,"1
.9 ×",29–31,Yes,
5,11,77597481–77597691R,211,Intron C11orf67 = AAMDC,ENSG00000087884,6.9 ×,5–7,Yes,
,,,,Intron INTSA,ENSG00000149262,,,,
6,9,79186718–79186900R,183,,ENSG00000241781,3.7 ×,12–14,No,LSU ribosomal RNA
7,1,947220–948350,1130,Annotated,ENSG00000224969,21.1 ×,28–31,No,Close to ISG15
8,19,17516503–17529713F,13210,Annotated,ENSG00000269640,6530 ×,22–31,No,Close to BST2
