0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,P5-infected/control,,,,,,,,P115-infected/control,,,,
,,,,,,,4 dpi,,,7 dpi,,14 dpi,,21 dpi,,4 dpi,,7 dpi,,14 dpi,,21 dpi
,,,,,,,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p,ratio,p
"2079,",aldehyde dehydrogenase 2,gi|,983,100,64491.8,8.79,1.55,0.001,,,,,,,2.72,0.09,,,,,,
2083,family,118098552,,,,,,,,,,,,,,,,,,,,
2751,aldo-keto reductase,gi|,795,100,36790.8,7.63,0.99,0.05,,,,,,,2.48,0.079,,,,,,
,,14330324,,,,,,,,,,,,,,,,,,,,
2382,alpha-enolase,gi|,611,100,47617.5,6.17,4.87,0.019,,,,,,,2.28,0.91,,,,,,
,,46048768,,,,,,,,,,,,,,,,,,,,
"2481,",annexin A2 (ANXA2),gi|,783,100,38901,6.92,1.54,0.371,N/A,0,,,,,2.44,0.012,4.63,0.003,,,,
4391,,45382533,,,,,,,,,,,,,,,,,,,,
2224,cartilage matrix protein,gi|,1090,100,54798.1,6.63,12.82,0.019,,,,,,,2.59,0,,,,,,
,precursor,71896317,,,,,,,,,,,,,,,,,,,,
1689,creatine kinase M-type,gi|211528,443,100,43529.1,6.5,,,0.87,0.567,,,,,,,5.63,0.001,,,,
"4195,",fructose-bisphosphate,gi|999392,256,100,39022.8,5.79,,,0.34,0.009,,,0.26,0,,,2.25,0.009,,,2.23,0.002
4953,aldolase C,,,,,,,,,,,,,,,,,,,,,
3273,heat shock protein beta-1,gi|,766,100,21715,5.77,5.42,0.005,,,,,,,2.66,0.955,,,,,,
,(HSPB1),45384222,,,,,,,,,,,,,,,,,,,,
4317,lamin-A,gi|,651,100,73348.5,6.5,,,,,,,2.88,0,,,,,,,0.41,0.001
"4310,",,45384214,,,,,,,,,,,,,,,,,,,,
4321,,,,,,,,,,,,,,,,,,,,,,
2592,nmrA-like family domain-,gi|,1090,100,32726,7.77,0.56,0.001,,,,,,,2.78,0.003,,,,,,
,containing protein 1,71897147,,,,,,,,,,,,,,,,,,,,
2483,"similar
to D4-GDP-",gi|,552,100,22928.6,5.08,,,,,2.37,0.039,,,,,,,1.61,0.254,,
,dissociation inhibitor,50728568,,,,,,,,,,,,,,,,,,,,
,(GDID4),,,,,,,,,,,,,,,,,,,,,
1932,"similar
to malate",gi|,819,100,37400.6,8.83,,,N/A,0.019,,,,,,,1.3,0.31,,,,
,"dehydrogenase 2, NAD",50758110,,,,,,,,,,,,,,,,,,,,
,(mitochondrial),,,,,,,,,,,,,,,,,,,,,
5132,"similar
to myozenin",gi|,319,100,29589.7,7.85,,,,,,,2.24,0.058,,,,,,,N/A,
,,50749396,,,,,,,,,,,,,,,,,,,,
"1919,",pyruvate kinase (PKM2),gi|212571,291,100,58433.9,7.29,1.12,0.488,0.44,0.071,0.5,0.012,,,2.55,0.004,2.81,0.024,1.28,0.088,,
1659,,,,,,,,,,,,,,,,,,,,,,
4635,selenium binding protein 1,gi|,731,100,53097.6,6.17,,,,,,,0.82,0.156,,,,,,,1.86,0.034
,,118102241,,,,,,,,,,,,,,,,,,,,
2016,succinyl-CoA:3-ketoacid-,gi|,201,100,56549.4,8.01,5.49,0.138,,,,,,,2.09,0,,,,,,
,"coenzyme A transferase 1,",60592998,,,,,,,,,,,,,,,,,,,,
,mitochondrial,,,,,,,,,,,,,,,,,,,,,
4680,UMP-CMP kinase,gi|,947,100,22386.3,6.75,,,1.07,0.56,,,,,,,2.42,0.002,,,,
,,71896025,,,,,,,,,,,,,,,,,,,,
4786,vimentin (VIM),gi|212868,1210,100,53166.6,5.09,,,,,,,4.78,0,,,,,,,1.4,0.394
a) Match ID represents unique numbers assigned to each spot,,,,in the matched standard of,,,ImageMaster 2D Platinum version 6.0 software,,,,,,,,,,,,,,,
